"All advances of travelling allowance will be entered  in  a   maintained  for  the purpose?","Debt Heads Register","Register of Advances","Loans and Advances Register","Demand cum Audit Register","Demand cum Audit Register"
"All  air  passages  Ex-India,  unless  otherwise specifically    provided    for    in    authorised regulations or other orders of Government, require the prior sanction of ?","MOD","AF HQs.","IFA","Government of India","Government of India"
"Appropriation  audit  is  conducted  in  how many stages?",1,2,3,4,2
"Who  is  responsible  for  Inspection  of  the Defence Aircrafts?","Director General of Aeronautical Quality Assurance","PCDA (AF) Dehradun","Air H.Qrs","All the three","Director General of Aeronautical Quality Assurance"
"Audit   of   expenditure   to   Government   is done from ?","Voucher to Pay Bill and vice versa","Pay Bill to voucher and vice versa","Voucher to Pay Bill not vice versa","Pay Bill to Voucher not vice versa","Pay Bill to Voucher not vice versa"
"On   the   grounds   of   urgency,   one   PCDA authorised  a  payment  without  pre  audit which normally requires pre audit?","Action is not in order","Action is in order","Requires permission of CGDA","Requires permission of DGADS","Action is in order"
"Pay  accounts  of  Army  Officers  proceeding abroad   on   courses   of   instructions   are maintained by the ?","Embassy of India concerned","PAO, Min. of External Affairs","PCDA (O) Pune","PCDA New
Delhi","PCDA (O) Pune"
" is  conducted  to  see  that  the  effective strength of Army Officer in a unit as shown in  the  nominal  roll  is  within  the  number authorised in the relative establishment?","Strength Audit","Man power Audit","Scale Audit","Nominal Audit","Scale Audit"
"In    case    of    charges    for    which    special sanction is necessary, no separate sanction necessary, if the bill is ?","for provisional payment","countersigned by CFA","No provision exists. Sanction is required","None","countersigned by CFA"
"In  case  if  you  find  a  new  name in  the  pay bill,  which  document  will  you  look  for  in audit?","LPC","Appointment order","a or b","None","a or b"
"When Date of Birth is not known in respect of   an   employee,   but   month   and   year known,  which  date  will  be  considered  as DOB?","1st day of the month","Last day of the month","16th of the month","Date as declared by him/her","16th of the month"
"Claims   relating   to   air   passage   of   Army personnel   Defence   Civilian   ex-India   are dealt with centrally by the ?","Armed Forces H.Qrs","MOD","CDA (Army) Meerut","PCDA New
Delhi","PCDA New
Delhi"
"Any recommendation by an administrative authority      for     exceptional      treatment, outside  the  rule,  should  be  addressed  to
?","PCDA/CDA","Higher authority through PCDA/CDA","CGDA","DGADS","Higher authority through PCDA/CDA"
"Audit of Armed Forces List is conducted in the office of the ?","Regional PCsDA/CsDA","PAOs","PCDA (O)","All the three","PCDA (O)"
"Provisions of Defence Audit Code related to Contracts  are  not  applicable  to  which  of the following Contracts?","Contracts concluded by Army","Contracts concluded by MES","Both","None","Contracts concluded by MES"
"MFAI Report is rendered in parts?",2,3,4,8,2
"Accounts    of    which    of    the    following concerns  are  published  in  the  commercial Appendix to the Appropriation Accounts?","Military Farms","Canteen Stores Department","None","Both","Both"
"Sanction of the  will be  necessary to conclude a  contract for a  period beyond  3 years?","MOD","C&AG","CGDA","Government of India","Government of India"
"MFAI report is addressed to ?","GOC – in C","GOC in C by Name","CGDA","DGADS","GOC in C by Name"
"PCsDA/CsDA have  to  return  the  draft para within   of  receipt  as  far  as  possible  to DGADS/C&AG?","6 weeks","8 weeks","One month","Three months","6 weeks"
"Which    of    the    following    is    true    with reference to the Short Term Agreements?","Can be concluded with unregistered contractors","Tender documents need not be submitted to PCDA/CDA for pre scrutiny","Both","None","Both"
"MFAI Report is rendered on basis?","Yearly","Half yearly basis","Quarterly","Monthly","Quarterly"
"Controllers  may  allow  a  time  of    to command  head  quarters  to  furnish  replies to Draft Para?","15 days","30 days","45 days","60 days","30 days"
"To   guard   against   double   payments,   full particulars    of    all    payments    made    to contractors should be noted in the?","Income Tax Register","Demand Register","NRC Register","None","Income Tax Register"
"Internal    Audit    report    is    rendered    by PCDA/CDA on basis?","Yearly","Half yearly","Quarterly","Monthly","Half yearly"
"Report of C&AG serves purposes?","Double","Triple","One","None","Double"
"To   guard   against   double   payments   in respect of Contractors bills,  verification by the auditor should be test checked by  to the extent of cent percent?","Group Officer","SAO/AO","AAO","Another Auditor","Another Auditor"
"Internal   Audit   Report   by   PCDA/CDA   is submitted to ?","GOC in C","CGDA","DGADS","All the three","CGDA"
"No draft para should be concurred without the    personal    knowledge    of       in PCDA/CDA office?","GO (IA)","GO (AN)","Addl. CDA/Jt. CDA","PCDA/CDA","PCDA/CDA"
"All   the   vouchers   for   which   payment   is authorized  will  be  prominently  enfaced  as ‘’?","Passed","Cancelled","Both","None","Cancelled"
"Internal Audit Report by CGDA is submitted to ?","Defence Secretary","MOD","DGADS","FADS/Secretary (Def/Fin)","FADS/Secretary (Def/Fin)"
"Expand    PAC    with    reference    to    C&AG report?","Public Audit Committee","Public Accounts Committee","Parliamentary Audit Committee","Proprietary Article Certificate","Public Accounts Committee"
"The functions of AOsGE are fold?",5,4,3,2,3
"Which   of   the   following   registers   is   not maintained by AOGE?","Contractors ledger","Suspense Register","Register of Sanctions","None","None"
"Annual   Review   of   Works   expenditure   is prepared by ?","E-in-C","Secretary (Def/Fin)/FADS","Defence Secretary","None","Secretary (Def/Fin)/FADS"
"MES         work         in         the         Principal Controller’s/Controller’s   Office   is   mainly dealt with in sections (Other than Pay & Allowances)?",2,3,4,1,2
"Annual  Audit  Certificate  is  submitted  by CGDA to FADS/Secretary (Def/Fin) not later than each year","1st September","1st October","1st November","1st December","1st September"
"To   whom   the   AAO   GE   reports   for   all matters in DAD?","IA cell of Main Office","RAO/LAO","Both","None","RAO/LAO"
"Annual    Audit    Certificate    submitted    by CGDA is countersigned by ?","Defence Secretary","Chiefs of Army/AF/Navy","Secretary (Def/Fin)/FADS","All the three","Secretary (Def/Fin)/FADS"
"Expand AAC?","Annual Audit Certificate","Annual Accounts Certificate","Annual Appropriation Certificate","All the three","Annual Audit Certificate"
"MFAI Report Part I consists of ?","Irregularities reported earlier and remaining pending","Fresh Irregularities","a or b","Both","Fresh Irregularities"
"Which   of   the   following   is   not   covered under Appropriation Accounts Report?","Changes in form and classification in the accounts","Miscellaneous observations","Review of Works Expenditure","None","None"
"How  many  quarterly  progress  reports  are submitted  by  PCsDA/CsDA  on  account  of follow up reports of AAC?",4,3,2,1,3
"Cases involving provision of Govt. or Hired Transport     to     non     entitled     personnel regularized by CFAs should be treated as  loss in Appropriation Accounts?","Cash","Stores","a or b","None","Cash"
"Losses   pertaining   to   issues   of   stores   in which  cash  recoveries  are  required  to  be made  are  to  be  classified  as   losses  in Appropriation Accounts?","Store","Cash","a or b","Both","Cash"
"Losses pertaining to which of the following are     not     exhibited     in     Appropriation Accounts?","Military Farms","Canteen Stores Department","Cantonment Boards","All the three","Cantonment Boards"
"All irregular  or  over  issue  of  stores  should be  treated  as   losses  in  Appropriation Accounts?","Stores","Cash","a or b","Both","Stores"
"All  orders  which  convey  sanctions  either directly or indirectly to expenditure should issue in the form of ?","Government Letters","Army/Navy/Air Force Instruction","None","a or b","a or b"
"When PCDA/CDA considers that any rule or order  has  infringed  any  one  of  the  canons of financial propriety; he should convey his opinion to?","CGDA","Army H.Qrs.","Concerned Administrative Authority","All the three","Concerned Administrative Authority"
"Which  of  the  following  is  not  a  duty  of DAD.?","Accounting","Internal Audit","Audit of Government of India Sanctions","None","Audit of Government of India Sanctions"
"Pay        and        Allowances        of        Junior Commissioned Officers of Indian Army paid by ?","PAOs (ORs)","PCDA (O) Pune","Army H.Qrs","PCDA New
Delhi","PAOs (ORs)"
"Who   deals   with   payment   of   bills   for procurement of stores of United Kingdom?","CDA (Army) Meerut","PCDA (CC) Lucknow","PCDA New Delhi","CGDA office","PCDA New Delhi"
"Pay and allowances of  Navy personnel are paid by ?","Naval Pay Office","PCDA (Navy)","Area Accounts Offices (Navy)","NLAOs","Naval Pay Office"
"DGADS is under  the  administrative control of ?","CGDA","C&AG","CGA","MOD","C&AG"
"Approval    of   CFA    for    specific    item    of expenditure   is   issued   in   the   form   of
?","Sanction","Concurrence","Supply Order/Contract Agreement","All the three","Sanction"
"Audit    conducted    by    Defence    Accounts Department is known as?","Local Audit","Internal Audit","Integrated Audit","All the three","Internal Audit"
"When a defective rule comes to the notice of a PCDA/CDA, he will ?","See whether it stands","Decide audit point as per rule as it stands","refer to CGDA","All the three","All the three"
"Which  of  the  following  points  is  not  true with  reference  to  Short  Term  Agreements and their conclusion?","Emergency- Regular contract not feasible","When ring formed by Contractors quoting high rates","Require pre scrutiny by CDA","None","Require pre scrutiny by CDA"
"Which of the following irregularities cannot be  placed  in  MFAI  Report  by  PCDA/CDA office?","Irregular maintenance of accounts","Deterioration of stores due to inadequate storage","Non maintenance of accounts","None","None"
"Accounts of the following concerns are not published  in  the  commercial  appendix  to Appropriation      Accounts      of      Defence Services?","Military Engineering services","Military Farms","Canteen Stores Department (India)","None","Military Engineering services"
"Expenditure      of      Public      Money      not authorized by Rules and orders requires the sanction of ?","Government of India","C&AG of India","Supreme Court of India","All the three","Government of India"
"Produce    from    soldiers’    gardens    when obtained  by  ASC,  which  of  the  following rates will be paid for such produce?","Current local contract rate","Military Farm latest audited actual production rate","Highest of two","Lowest of two","Lowest of two"
"Financial Advice Report is rendered for the Quarters Ending ?","June, Sept, December, March","Feb, May, August, November","January, April, July, October","Decided by PCDA every year","June, Sept, December, March"
"Which  of  the  following  is  not  reflected  in Report   of   C&AG   of   India   submitted   to Parliament of India?","Sanctions of GOI","Imp. Irregularities noticed in internal audit by DAD","Irregularities noticed in Test audit","None","None"
"Statutory  Audit  of  Accounts  and  Financial Transactions     of     Defence     Services     is conducted by?","CGDA","CGA","DGADS","All the three","DGADS"
"Which  of  the  following  transactions  does not require “appropriation” under the head of account?","Expenditure of occasional character","Receipt to Government","Both","None","Receipt to Government"
"Which  of  the  following  offices  does  not conduct    audit    of    Expenditure    of    MES units/formations?","PCDA/CDA","AO/AAO GE","RAO/LAO","None","None"
"MFAI  Report  is  rendered  by   of  the month following the quarter?","10th","15th","20th","25th","20th"
"Which of the following does not fall under the ambit of appropriation audit?","Transaction audit","Sanction audit","Expenditure audit","All the three","Transaction audit"
"Field  Cashier  submits  his  cash  account  to PCDA (O) on basis?","Daily","Weekly","Fortnightly","Monthly","Daily"
"What  does  section  (A)  of  part  II  of  MFAI Report represent?","Cash irregularities reported fresh","Cash irregularities reported already","Stores irregularities reported fresh","Stores irregularities reported already","Cash irregularities reported already"
"Which   of    the   following   need   not    be exhibited in the Appropriation Accounts of Defence Services?","Irregular or over issues stores","Losses due to accidents
– MT vehicles","Unavoidable losses","None","Unavoidable losses"
"Who   among   the   following   is   ultimately responsible for keeping expenditure within the appropriation?","DAD","Authority who allotted the funds","Authority administering the appropriation","All the three","Authority administering the appropriation"
"Which  of   the   following   actions   by   Field Cashier you would object in audit?","To pay advance of pay to officers on presentation of personal cheques","Supply of funds to Field Imprest Holders","Cashing of private cheques","a & c","Cashing of private cheques"
"What  does  section  (B)  of  part  I  of  MFAI Report represent?","Stores irregularities reported fresh","Cash irregularities reported already","Stores irregularities reported already","Cash irregularities reported fresh","Stores irregularities reported fresh"
"Statement  of  In  fructuous  Expenditure  for MES are submitted by Controllers to  for inclusion in Appropriation accounts?","E in C","DFA (works)","Chief Engineer","GOC in C","DFA (works)"
"If  the  sanctioning  authority  is  vested  with full    powers   in   r/o    particular   class    of expenditure, it  can  be  challenged  by  audit only under ?","Authority of C&AG","Authority of CGDA","Standards of Financial Propriety","All the three","Standards of Financial Propriety"
"When   an   individual   against   whom   Debt Head Advance is outstanding is transferred to  audit  control  of  another  Controller  _ action is taken?","Balance is intimated through LPC","Balance is transferred through Defence Exchange Account","Both","None","Both"
"Which of the following actions by PCDA (O) is not correct in the case of  Funds paid by Field Cashier to Field Imprest Holders?","Such amount is noted in a demand register","Demand Intimated to respective PAO","Acknowledgement watched","DIDS is raised","DIDS is raised"
"Which of the following items is not covered
in    Appropriation    Accounts    of    Defence Services?","Annual Review of
Balances under heads of Accts.","Review of MES Expenditure (Works)","Changes in forms of Accounts","Misc.
Observations","Annual Review of
Balances under heads of Accts."
"Which  of  the  following  organizations  are not audited by DGADS?","Regional Training Centres of DAD","DPDOs","Cantonment Funds","All the three","Cantonment Funds"
"IRLA  of  Army  Officer  is  not  maintained  by PCDA (O) in which of the following cases of Officers proceeding on ?","Course of instructions to abroad","Study Leave","Temporary Duty","None","None"
"In    case    of    units    whose    S&S    Imprest Accounts are  finally closed, the unused CR forms are ?","Transferred to the local units","Returned to PCDA/CDA","Destroyed by unit and certified","Any of the three","Returned to PCDA/CDA"
"Who   is   responsible   to   initiate   claim   on account   of   short   landings   in   r/o   Steel Imports   control   indents   through  port   of Kolkata?","Consignee unit","Embarkation Commandant","Iron & Steel Controller, Kolkata","PC of A Kolkata","Iron & Steel Controller, Kolkata"
"Internal  Audit  of  store  accounts  of  units and formations is conducted by ?","DAD","DGADS","Both","None","DAD"
"Except under the orders of, no order of   sanction   shall   be   accepted   in   audit unless     it     is     received     from/through sanctioning authority?","DGADS","CGDA","PCDA/CDA","GOI","PCDA/CDA"
"While  carrying  out  Test  Check   of  IRLAs, credit entries should be verified ?","From Documents to IRLAs not vice versa","From IRLA to Documents not vice versa","Both","None","From IRLA to Documents not vice versa"
"Powers   of   making   provisional   payments cannot   be   delegated   by   PCDA/CDA   to which of the following officers?","Addl. CDA/Jt. CDA","Group officers (IDAS)","SAO/AO","All the three","SAO/AO"
"Which of the following does not fall under the purview of primary function of audit?","To verify completeness of accounts","To secure all receipts are brought to account","To verify whether Expenditure is authorized","To prescribe rules","To prescribe rules"
"Bills for non recurring payments sanctioned by   Chief   of   Army   Staff   will   be   paid  by
?","PCDA New Delhi","PCDA (O) Pune","Regional PCDA/CDA","Army Head Quarters","PCDA New Delhi"
"Which of the following is not in order as far as  objection  statements  issued  by  Audit and their construction are concerned?","Language should be courteous","Should be in personal terms","Should be brief, legible & intelligible","All the three","Should be in personal terms"
"If   it   is   felt   in   audit,   rates   accepted   in contract are considerably higher than rates prevailing   in   market,   matter   should   be taken up with?","CFA","Next higher CFA","CGDA","All the three","CFA"
"To  make  payments  outside  the  terms  of contract, whose consent is necessary?","PCDA/CDA","CFA","Next higher CFA","All the three","CFA"
"Can  a  provisional  payment of  pay  &all.  be made at by PCDA/CDA in case of individual kept on in service beyond date of expiry of sanction?","Yes. At his/her discretion","No","Yes. With prior approval of Test audit","Yes. With prior approval of next higher CFA","Yes. At his/her discretion"
"Who  can  authorize  payment  without  pre audit of a claim which requires pre audit, to avoid delay in an urgent case?","PCDA/CDA","GOC in C","CGDA","GOI","PCDA/CDA"
"While  carrying  out  Test  Check   of  IRLAs, Debit entries should be verified ?","From Documents to IRLAs not vice versa","From IRLA to Documents not vice versa","Both","None","From Documents to IRLAs not vice versa"
"AO attached  to GE office discharges which of the following duties?","Technical Advice","Legal Advice","Financial Advice","All the three","Financial Advice"
"Transportation  of  stores  from  abroad  to India by air under special sanction of India are received on basis","Stores collect basis","Freight collect basis","special collect basis","None","Freight collect basis"
"If you are verifying the competency of  the authority    incurring    expenditure    out    of public money, you are doing ?","Expenditure audit","Performance audit","Concurrent Audit","Sanction Audit","Sanction Audit"
"To enable the audit authorities to focus on the    retiring    employees’    dues/demands, their   pay   bills   are   prepared   and   sent separately   in   the   last     months   of service?",6,4,3,2,3
"If it is noticed in audit that ï¿½Expenditure incurred   is   prima   facie   more   than   the occasion   demandsï¿½,   PCDA/CDA   would take up the matter with ?","Concerned Administrative Authority","Next higher authority","CGDA","Army H.Qrs","Concerned Administrative Authority"
"Where a matter pertains to more than one controller,     views/comments     of     other controllers will be obtained by ?","CGDA","Controller who raises the issue","PCDA (Central Command) Lucknow centrally","Controllers having DAD cells under them","Controller who raises the issue"
"Before     issuing     LPC,     Pay     section     of PCDA/CDA refers to which of the following sections  to  note  outstanding  demands  if any at their end?","IA cell","Accounts Section","T section","M section","T section"
"All queries and observations raised by audit officers should be in ?","Personal","Bilingual (i.e. Hindi, English)","Impersonal","terminology as decided by audit officer","Impersonal"
"Which  of  the  following  dues  is  not  posted in the Demand Register by Pay sections of PCDA/CDA office?","Licence Fee bills","Advance of GPF","Advance of Pay","None","Licence Fee bills"
"When     provisional     payment     is     made pending  receipt  of  LPC,  sanction  is  taken for         pay     from     the     authority
concerned?","Gross","Net","Basic","None","Gross"
"Financial  advice  rendered  by  PCDA  Main office IA cell is of how many types?",1,2,3,"No limit",2
"Maximum    tolerance    limit    allowed    to exceed in ASC contracts is %",1,2,5,10,5
"If   you   are   linking   a   transaction   from voucher   into   IRLA   of   a   PBOR,   you   are verifying entry in the IRLA?","debit","credit","Both","None","debit"
"In the case of  final closing of Field Cashier Account,  which  of  the  following  balances will be remitted into Treasury?","Cash balance","Unexpended balance of Cash Assignment provided by PCDA (O)","Both","None","Cash balance"
"PCDA  (N)  Mumbai  provides   to  the commanding   officers   of   ships   requiring money?","Cash Assignment","Warrants for money","Imprest","All the three","Warrants for money"
